Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,ARRG 2,Audio Test 2,BC 1,BC 2,BC Local Net 1;BC Loc Net 1,BayNet 2,Bridge 2,California 1,Canada 2,Cascades East 1;Cascad 1,Comm 1,Comm 2,Fusion 2,Hawaii 1-2,I-5-1,I-84-2,Idaho 1,Idaho ARES 2,Local 1,Local 2,MPRG 1-2,Mountain 2,Michigan 1,Michigan 2,Montana 2,Net 2,North America 2;North Am 2,Oregon 1,PNW 1,PNW 2,PNW Regional 2;PNW Reg 2,Parrot 1,PS1-DNU,PS2-DNU,SNARS 1-2,SoCal 2,TAC 1-2,TAC 2-2,TAC 3-2,TAC 310-2,TAC 311-2,TAC 312-2,TAC 313-2,TAC 314-2,TAC 315-2,TAC 316-2,TAC 317-2,TAC 318-2,TAC 319-2,TAC 8-2,TG 9,TAC Eng 123-2;TAC Eng 2,USA 2,Utah 2,Wash 1,Wash 2,Worldwide 2,Worldwide Eng 2;WW Eng 2
Saint Maries ID;SAI,,High,443.75,448.75,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,1,-,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-
Salem/Orchard;SAL,,High,442.8875,447.8875,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,-,-,1,1,2,-,1,-,-,-,-,-,-,-,2,2,2,-,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-
Seattle/Cougar;SCO,,High,441.2875,446.2875,1,-,-,1,-,-,-,2,1,2,1,1,2,2,2,1,-,-,-,1,2,-,2,1,-,2,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,-,-,-,-,2,-,-,2,2,-,1,2,2,2
Seattle/Metro;SME,,High,441.325,446.325,1,-,2,1,-,-,-,2,1,2,1,1,-,-,2,1,-,-,-,1,2,-,-,-,-,2,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2
Seattle/Tiger;STI,,High,442.025,447.025,1,-,2,1,-,-,-,2,-,-,1,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,2,-,1,1,2,2,1,1,2,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,2,2,2
SeaPac/PNW Demo;SPC,,High,444.15,449.15,1,-,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,2,-,-,-,-,2,-,-,1,1,2,2,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,-,-
Snoq/Rattlesnake;SNO,,High,147.02,147.62,1,-,2,1,-,-,-,2,-,-,1,1,-,-,-,1,-,-,-,1,2,-,-,-,-,-,2,-,1,1,2,2,1,1,2,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-
Spok/Krell UHF;SKU,,High,444.125,449.125,1,-,2,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,2,-,2,-,-,-,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,-,-
Spok/Krell VHF;SKV,,High,147.4125,146.4125,1,-,2,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,2,-,2,-,-,-,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,-,-
Spok/Lookout UHF;SLO,,High,444.15,449.15,1,-,2,1,-,-,-,-,-,-,1,-,-,-,2,1,-,1,-,1,2,-,2,-,-,-,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,-,-
Sultan/Haystack;SUL,,High,444.4,449.4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,-,-,-,-,-,-,1,1,2,-,1,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
Tacoma/Baldi;TBA,,High,441.35,446.35,1,-,2,1,-,-,-,2,1,2,1,1,2,2,2,1,-,-,-,1,2,-,2,1,-,2,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2
Tacoma/Ruston;TRU,,High,440.725,445.725,1,-,2,1,-,-,-,2,1,2,1,1,-,2,2,1,-,-,-,1,2,-,-,-,-,2,2,2,1,1,2,2,1,1,2,2,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,2,2
TheDall/StackrBu;STB,,High,443.1,448.1,1,2,2,1,-,-,2,2,1,-,1,1,-,-,-,1,2,1,-,1,-,2,2,-,-,2,2,2,1,1,2,2,1,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,2,2
Tri-Citi/JOJ UHF;TIU,,High,440.7375,445.7375,1,-,2,1,-,-,-,2,-,-,1,-,-,-,-,-,2,-,-,1,2,-,-,-,-,-,2,-,1,1,2,2,1,1,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,-,-
Tri-Citi/JOJ VHF;TIV,,High,147.425,146.425,1,-,2,1,-,-,-,2,-,-,1,-,-,-,-,-,2,-,-,1,2,-,-,-,-,-,2,-,1,1,2,2,1,1,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,2,-,1,2,-,-
Wenatchee/LilBad;WEN,,High,443.75,448.75,1,-,2,1,-,-,-,2,1,2,1,1,-,-,-,-,-,-,-,1,2,-,-,-,-,-,2,2,1,1,2,2,1,1,2,-,-,2,2,-,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,-,2
WWARA 440.7000;WAR,,High,440.7,445.7,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,2,-,-,-,-,2,-,-,1,1,2,2,1,1,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
WWARA 440.7125;WAR,,High,440.7125,445.7125,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,2,-,-,-,-,2,-,-,1,1,2,2,1,1,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
WWARA 440.7250;WAR,,High,440.725,445.725,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,2,-,-,-,-,2,-,-,1,1,2,2,1,1,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
WWARA 440.7375 ;WAR,,High,440.7375,445.7375,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,2,-,-,-,-,2,-,-,1,1,2,2,1,1,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
WWARA 440.7500;WAR,,High,440.75,445.75,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,2,-,-,-,-,2,-,-,1,1,2,2,1,1,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
WWARA 440.7625;WAR,,High,440.7625,445.7625,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,2,-,-,-,-,2,-,-,1,1,2,2,1,1,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
WWARA 440.7750;WAR,,High,440.775,445.775,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,1,2,-,-,-,-,2,-,-,1,1,2,2,1,1,2,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-
Yakima/Elephant;YAK,,High,147.12,147.72,1,-,-,1,-,-,-,-,1,2,1,1,2,-,2,-,-,-,-,1,2,-,2,-,-,2,2,2,1,1,2,2,1,1,2,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,-,1,2,-,2
